rule_id,rule_type,applicable_when,success_scenario,flip_scenario,alternative_boundary,brand_layer,source_pack_id
RL-KP-product_attribute-content-type-north-star-outfit-of-the-day,content_type_north_star_anchor,新增 OOTD 玩法卡或审核 OOTD 内容时,玩法呈现路线/身份/时间/情绪叙事 → C3 突破,镜前转圈+SKU 清单/卡点变装/空词 → 主流禁用+红线,与 product_review 重心区分；与 personal_vlog C3-1 边界延后,domain_general,KP-product_attribute-content-type-north-star-outfit-of-the-day
RL-KP-product_attribute-content-type-north-star-personal-vlog,content_type_north_star_anchor,新增 personal_vlog 玩法卡或审核 vlog 内容时,玩法有连续感+真实波动+微脆弱 → 进 C2/C3,流水账+通用漂亮模板 → 主流禁用；无连续感 → 应归 daily_fragment,不露脸不等于 daily_fragment——区分点是连续性,domain_general,KP-product_attribute-content-type-north-star-personal-vlog
RL-KP-product_attribute-content-type-north-star-role-work-vlog,content_type_north_star_anchor,新增 role_work_vlog 玩法卡或审核岗位 vlog 时,玩法呈现手部+短句判断+失误证物+岗位接力 → 进 C2/C3,可爱员工人设/培训话术/流水账 → 主流禁用,老板兼岗位按叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-role-work-vlog
RL-KP-service_judgment-store-daily-three-required-elements,content_type_routing_gate,门店相关内容判型时,三轴中≥2 命中 → 归 store_daily,≤1 命中却强归 store_daily → 与 personal_vlog/daily_fragment 玩法库污染,老板出镜按叙事重心二选一（store vs founder_ip）,domain_general,KP-service_judgment-store-daily-three-required-elements
RL-KP-training_unit-emotion-expression-9-ai-tone-banlist,ai_tone_banlist_one_strike,情绪敏感 CT 内容生成或发布前校验,命中即重写 AI 腔被拦截画面/地点/物件锚点齐全,微调绕开 → 观众当场划走情绪资产长期受损,命中但必须表达 → 拆解为具体情境重写不许在原模板改字,domain_general,KP-training_unit-emotion-expression-9-ai-tone-banlist
RL-KP-training_unit-emotion-expression-truth-3-questions-prepublish,pre_publish_truth_validation,emotion_expression C2/C3 玩法卡发布前最后一道校验,三锚点齐全发布观众接住被看见,任一锚点答不仍发布 → 滑向构思情绪剧本资产被污染,答不且无法补真实锚点 → 降级到 humor_content/lifestyle_expression/daily_fragment 或剔除,domain_general,KP-training_unit-emotion-expression-truth-3-questions-prepublish
RL-KP-training_unit-event-documentary-failure-perspective,failure_perspective_breakthrough_play,event_documentary C3 档；事件存在真实失败/低谷瞬间,真实困难展示观众接住扛过的信任沉淀,圆满落幕模板包装 → 流水账观众被流带走信任不沉淀,无失败强凑 → 违 §E 红线；涉第三方 → 转 C3-1 紧张感叙事,domain_general,KP-training_unit-event-documentary-failure-perspective
RL-KP-product_attribute-content-type-north-star-founder-ip,content_type_north_star_anchor,新增 founder_ip 玩法卡或审核一条创始人内容时,玩法呈现具体决策/失败样衣/代价显形/判断证据链 → 进 C2/C3,玩法落到鸡汤口播/流水账/成功拼贴/工厂巡视/对镜穿搭 → C1 强默认禁用,与 role_work_vlog 按第一叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-founder-ip
RL-KP-product_attribute-content-type-north-star-knowledge-sharing,content_type_north_star_anchor,新增 KS 玩法卡或审核一条 KS 内容时,玩法有现场证据+为什么是你（先讲人生 / 桌面实验 / 错误倒叙 / 听诊器 / 动作证明）→ 进 C2/C3,站桩 3 点 / PPT 大字报 / '99%的人不知道'耸动 → 主流默认禁用,与 training_material 边界延后边界矩阵处理,domain_general,KP-product_attribute-content-type-north-star-knowledge-sharing
RL-KP-product_attribute-content-type-north-star-talent-showcase,content_type_north_star_anchor,新增 talent_showcase 玩法卡或审核一条才艺内容时,玩法呈现过程笨拙/救场/微技能/传递/反预期场景 → 进 C2/C3,只剩成品展示 / 卡点炫技 / 高光合集 → 主流默认禁用,与 knowledge_sharing 按叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-talent-showcase
RL-KP-product_attribute-content-type-north-star-training-material,content_type_north_star_anchor,新增 training_material 玩法卡或审核兵团向培训内容时,动作层面示范 / 先判断再答案 / 微学习 ≤ 90 秒 / 真实门店 → 进 C2/C3,PPT 录屏 / 话术灌输 / 20 分钟长视频 → 主流默认禁用,与前 17 份消费者向 CT 在观众上硬切换 / 与 store_daily 在目标观众上互逆,domain_general,KP-product_attribute-content-type-north-star-training-material
RL-KP-styling_rule-behind-scenes-invisible-completion-cost,content_play_card_anchor,behind_the_scenes 内容选卡 / 任意品牌日常经营劳动场景,非glamorous劳动+局部特写+疲惫+收尾动作 → 观众接住完成成本产生尊重,拍成流水线 ASMR / 仓库打包美学 / NG 集锦 → 退化主流默认禁用,后台为事件服务 → event_documentary / 成品诞生 → product_journey,domain_general,KP-styling_rule-behind-scenes-invisible-completion-cost
RL-KP-styling_rule-old-sample-as-error-archive,founder_ip_signature_play_priority,服装品牌建立 founder_ip 内容资产 / 选玩法时,用旧样衣具体物件做'判断证据链'叙事 → 信任感远强于口号,讲抽象创业初心/品牌使命无物件 → 鸡汤口播反向伤品牌,没旧样衣 → 退用桌面证物或决策日记；过于敏感 → 用沉默日志或门口角色切换,domain_general,KP-styling_rule-old-sample-as-error-archive
RL-KP-styling_rule-talent-showcase-micro-skill-hundred-reps,content_play_card_anchor,服装行业微技能（丝巾/袖口/下摆/收腰/打结/卷裤脚）的 talent_showcase 内容创作,重复+失败保留+最后一次定格 → 观众接住控制力,只拍成品/卡点炫技 → 退化为 C1 默认禁用,也可走才艺即救场卡,domain_general,KP-styling_rule-talent-showcase-micro-skill-hundred-reps
RL-KP-training_unit-error-first-then-correct-replay,store_training_play_card,高频翻车的接客判断场景（顾客试穿反馈/砍价/退换/试穿犹豫）,30 秒：错+定格+倒带正确版本 → 员工内化判断顺序,先讲正确话术让员工背 → 员工本能反应仍翻车,纯动作 SOP 走 Do/Don't 对照或 SOP ASMR,domain_general,KP-training_unit-error-first-then-correct-replay
RL-KP-training_unit-event-documentary-long-term-tier-discipline,long_term_tier_compliance,事件纪实玩法素材采集天然跨日（如 72 小时时间压缩 / 定点延时）,成片 ≤ 4 小时 + 元数据标 long_term + 进默认调用池,成片不收敛 → 突破基线；或偷换为 4 小时摆拍 → 失去时间真实纵深,创作者无法跨日 → 改用 C3-1/C3-2 等单条完成玩法；成片大幅超 4 小时 → 拆系列短片,domain_general,KP-training_unit-event-documentary-long-term-tier-discipline
RL-KP-training_unit-humor-content-brand-tone-gate-for-puppetry,play_card_brand_tone_gate,humor_content 玩法卡带🎨 品牌调性提示行（如 C3-5 衣架木偶戏）,调性匹配则调用 / 不匹配则改用其他玩法品牌资产不受损,强行调用导致调性硬冲突 → 观众感知装亲民反弹品牌资产受损,中性调性 → 走人工裁决；不匹配 → 改用 C3-1 全调性兼容玩法,domain_general,KP-training_unit-humor-content-brand-tone-gate-for-puppetry
RL-KP-training_unit-humor-content-clothing-as-persona-switch,clothing_as_persona_switch,humor_content 突破性档想做身份反差幽默,笑点来自身份落差服装承担人格开关功能成本极低,服装当反转道具前后换装 → 滑向廉价反转套路观众先看见套路,冷感/高端调性 → 改用认知翻面减弱戏剧性；不愿分饰多角 → 改用评论区第二人格,domain_general,KP-training_unit-humor-content-clothing-as-persona-switch
RL-KP-training_unit-lifestyle-expression-old-defines-premium,old_defines_premium,lifestyle_expression 突破性档；长期主义/反消费主义品牌叙事,真实磨损 + 陪伴叙事自然引出耐穿可修补卖点品牌长期主义可信,伪做旧或摆拍磨损 → 违反真实约束观众秒识破,快时尚品牌或新品发布 → 改用气味叙事/散文电影；无足够磨损旧衣 → 进 unprocessable 不许伪做,domain_general,KP-training_unit-lifestyle-expression-old-defines-premium
RL-KP-training_unit-lifestyle-expression-values-via-rejection,values_via_rejection_play,lifestyle_expression 突破性档想表达生活立场避免说教距离感,拒绝动作 + 物件并排 + 极少字幕观众接住边界感秩序感,slogan 贴脸输出或鸡汤字幕替代生活动作 → 观众识别为说教距离感推开,无具体拒绝场景 → 改用反差场景柔软穿着；动作过戏剧化 → 改用气味叙事视觉化,domain_general,KP-training_unit-lifestyle-expression-values-via-rejection
RL-KP-training_unit-process-trace-stop-the-bad-one-builds-trust,stop_the_bad_one_builds_trust,process_trace 突破性档品牌有自主质检过程,拍被拦下的衣服 + 具体瑕疵 + 返工筐观众接住边界感,严格把控 + 大型工厂全景 + 字幕诗朗诵 → 透明焦虑行业看似公开实则空泛难说服,无质检 → 改用只拍手不拍脸；不便公开瑕疵 → 改用一刀之前的静止,domain_general,KP-training_unit-process-trace-stop-the-bad-one-builds-trust
RL-KP-training_unit-sop-asmr-procedural-memory,store_training_play_card,服装行业可视化 SOP（蒸烫/折叠/装袋/贴标/封口/挂装/量体）,20-60 秒无口播+动作声+关键 1-2 字字幕 → 员工在工作时当场刷一条,PPT 录屏 / 长旁白 / 满屏字 → 程序性记忆通道关闭,接客判断走分支情境或错误先倒回,domain_general,KP-training_unit-sop-asmr-procedural-memory
RL-KP-training_unit-talent-showcase-rescue-not-show-off,talent_as_rescue,talent_showcase 突破性档有真实救场场景,救场叙事观众接住有用有温度把创作者当作值得追随,正面站桩展示完成品 → 只记得会不记得是谁简历感强,无救场对象 → 改用同动作练 100 次；过专业普通观众难识别 → 改用 ASMR 化才艺,domain_general,KP-training_unit-talent-showcase-rescue-not-show-off
RL-KP-product_attribute-content-type-north-star-emotion-expression,content_type_north_star_anchor,新增 emotion_expression 玩法卡或审核情绪内容时,克制具体瞬间+物件载体+关系映照+真实感三问可过 → 进 C2/C3,怼脸独白+伤感BGM / 鸡汤卡片 / 哭腔崩溃 → 主流强默认禁用,与 daily_fragment 在情绪密度上分层 / 与 humor_content 在方向上互逆,domain_general,KP-product_attribute-content-type-north-star-emotion-expression
RL-KP-product_attribute-content-type-north-star-process-trace,content_type_north_star_anchor,新增 process_trace 玩法卡或审核工艺溯源内容时,玩法呈现难伪装步骤 / 感官链条 / 证据链 / 手部叙事 / 不可逆动作前静止 / 被拦下成衣 / 工艺侦探 / 夜班沉默 / ASMR 面料 / 微距 → C2/C3,工厂参观 vlog / 步骤罗列 / 产地口号 / 面料对比模板 / 航拍炫设备 → 主流默认禁用,与 product_journey 按设计决策 vs 工艺验证二选一,domain_general,KP-product_attribute-content-type-north-star-process-trace
RL-KP-product_attribute-content-type-north-star-product-copy-general,content_type_north_star_anchor,新增 PCG 玩法卡或审核一条产品文案时,玩法呈现具体场景/触感比喻/时刻文案/反销售/双栏/反对意见/舞台指令/留白海报 → C2/C3,形容词三连/口号/FABE/小说体/促销链 → C1 默认禁用 + AI 命中红线拒绝输出,与 KS 按教观众 vs 卖商品；与 product_review 按视频 vs 文字,domain_general,KP-product_attribute-content-type-north-star-product-copy-general
RL-KP-product_attribute-content-type-north-star-product-journey,content_type_north_star_anchor,新增 product_journey 玩法卡或审核产品历程内容时,玩法呈现样衣版本树/失败辩论会/同一张桌子/反向发布讲缺点/纸片三连/倒叙拆线/微物叙事 → C2/C3,魔术转场/灵感说明书/上市前预热/设计师自我感动片 → 主流默认禁用,与 process_trace 按设计决策 vs 工艺验证二选一,domain_general,KP-product_attribute-content-type-north-star-product-journey
RL-KP-product_attribute-content-type-north-star-product-review,content_type_north_star_anchor,新增 product_review 玩法卡或审核一条测评内容时,玩法呈现体感测试 / 顾虑解除 / 反种草 / 一天体感 / 触感法庭 → 进 C2/C3,只剩转圈念优缺点 / 形容词三连 / 7 秒换装 / 开箱即结论 / 对照表 → 主流默认禁用,同试穿镜头在 OOTD vs product_review 间按叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-product-review
RL-KP-product_attribute-pcg-five-voice-archetypes,voice_archetype_field_constraint,为品牌建立 PCG 文案体系 / 单条文案选定声音原型时,按品牌性格选 1-2 个原型作主声 / 跨载体保持一致,AI 不约束原型直接生成 → 电商腔 / 同质化,允许主+副原型组合；新原型走共享层 §H.3 提案不在单 CT 私自新增,domain_general,KP-product_attribute-pcg-five-voice-archetypes
RL-KP-styling_rule-daily-fragment-no-face-traces,content_play_card_anchor,daily_fragment 内容选卡 / 想做更私密更可信的碎片,6 物件痕迹近景+极少字+留白 → 观众通过痕迹补全人物,痕迹做成商品摆拍/加热门歌/AI一键 → 退化为 C1 拼盘,需要露脸建人格 → personal_vlog / 需要说明性 → knowledge_sharing,domain_general,KP-styling_rule-daily-fragment-no-face-traces
RL-KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,content_play_card_anchor,服装行业 emotion_expression 内容（陪伴感品类：针织/外套/衬衫/帽衫）/ 真实归家窗口,一镜到底+服装作为情绪容器+真实环境音 → 观众接住没说出口的悬浮感,服装变成被讲述商品/加伤感BGM/加金句 → 落入 C1 强默认禁用,接客场景不适用 / 显示型搭配走 OOTD,domain_general,KP-styling_rule-emotion-expression-clothes-as-emotion-vessel
RL-KP-styling_rule-ootd-clothes-remember-today,content_play_card_anchor,OOTD 主角服装具有耐穿/耐看/会呼吸的隐性价值（针织/衬衫/牛仔/西装）,30 秒早+中+傍+夜 4 时段时间痕迹 → 观众接住衣服进入生活,镜前转圈+单品罗列/GRWM 最终成片 → 落入 C1 主流默认禁用,聚焦功能场景走 路线卡 / 多年痕迹走 衣橱考古,domain_general,KP-styling_rule-ootd-clothes-remember-today
RL-KP-styling_rule-pcg-moment-over-category,pcg_moment_first_copy_structure,写服装产品文案首屏/钩子标题时,时刻钩子+延迟揭示 → 命中购买决策真实触发点,首屏先给品类+卖点 → 电商模板AI批量赛道,接客高信息密度走直白型；不适合延迟揭示退用具体化+边界声明,domain_general,KP-styling_rule-pcg-moment-over-category
RL-KP-styling_rule-process-trace-rejected-garment,process_trace_rejected_garment_play,做 process_trace 内容选题时,拍质检台被拦下的成衣 + 低声指出具体瑕疵 + 衣服进返工筐 → 信任远强于'严格把控'口号,只拍合格品+励志 BGM → 红线 E1/E5 自找麻烦,无真实拦下案例不得编造；涉商业机密只拍抽象瑕疵不拍批次,domain_general,KP-styling_rule-process-trace-rejected-garment
RL-KP-styling_rule-process-trace-single-hard-fake-step,process_trace_single_node_priority,做工艺溯源内容时选全流程 vs 单点深拍,选最难伪装节点深拍+具体差距数据 → 把'严格把控'变可视化证据,全流程罗列像 SOP 视频化 → 观众跳出,无难伪装节点 → 退用被拦下成衣或夜班沉默；商业机密节点不得披露 → 转感官玩法,domain_general,KP-styling_rule-process-trace-single-hard-fake-step
RL-KP-styling_rule-product-journey-sample-version-tree,product_journey_version_tree_play,服装品牌做 product_journey 选玩法时,桌面摆 1.0/2.0/3.0 + 逐件指否决理由 + 第 4 版被留下 → 信任远强于完美成品展示,只拍最终成品+灵感旁白 → 红线 E1/E2 无法建立价值信任,无版本树 → 退用真实测试或同一张桌子；涉供应商纠纷 → 改用微物或纸片三连,domain_general,KP-styling_rule-product-journey-sample-version-tree
RL-KP-training_unit-knowledge-not-teacher-but-event,knowledge_sharing_open_with_error,写服装 KS 内容前选择开场结构时,0-3 秒被毁样品+'我搞错过' → 倒叙错误动作 → 极短结论 → 完播率高代入感强,开头先给正确答案/三条建议 → 老师腔模板 → AI 味重跳出率高,无错误可调 → 退用一句知识只靠动作或桌面实验；健康/材质话题不得恐吓式表达,domain_general,KP-training_unit-knowledge-not-teacher-but-event
RL-KP-training_unit-product-review-anti-filter-pledge,product_review_anti_filter_pledge,做产品测评内容前的开场结构,反滤镜四项+后续体感+延迟结论 → 饱和赛道稀缺信任资产,滤镜美颜+开场即结论 → C1 协调推广模板被默认禁用,专业摄影身份用其他证据可验证；接客现场无需自述,domain_general,KP-training_unit-product-review-anti-filter-pledge
RL-KP-styling_rule-product-journey-vs-process-trace-boundary,content_type_disambiguation,素材同时含设计改版与工艺验证痕迹时,按 4 维度二选一归类 / 必要时拆条独立成两类内容,混拍 → 落入灵感说明书 + 走进工厂双重 C1 禁用,纯单类素材直接归类无需走本规则；与 founder_ip 按价值观 vs 产品本身分流,domain_general,KP-styling_rule-product-journey-vs-process-trace-boundary
RL-KP-product_attribute-compatibility-matrix-two-layer-truth-source,matrix_truth_source_layering,兼容矩阵 schema 设计或扩展时,Persona×CT 一层真源 + Platform tier 一层真源 + 派生视图组合 → 边数 N×M，新增维度不膨胀,把 CT×Platform 也做成真源边 → 边数 N×M×K 膨胀，两份真源易漂移，扩展路径被锁,未来出现 CT×Platform 特殊例外时按例外加单边升级，不推翻分层,domain_general,KP-product_attribute-compatibility-matrix-two-layer-truth-source
RL-KP-product_attribute-compatibility-edge-support-risk-reason-shell,compatibility_edge_field_shell_definition,录入或复核 Persona × ContentType 兼容边时,support+risk 双维度独立标注，reason 在 support!=now 时填,用 support=custom 表达高风险 / 自造第 5 档枚举 / 把 risk 与 support 合并,需要试运行档走 lifecycle 状态机，不扩 support 枚举,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
RL-KP-product_attribute-compatibility-derived-view-combination-formula,derived_view_combination_rule,运行时计算 Persona×ContentType×Platform/Channel 派生展示档时,按 8 行组合表映射展示档 + risk 从真源独立继承 + P2/deferred 兜底,用平台 tier 覆盖 risk / 把派生结果写入图谱 / 自造组合规则破坏对齐,未来加品牌级 SUPPORTS_PLATFORM 时在公式前加品牌优先级层,domain_general,KP-product_attribute-compatibility-derived-view-combination-formula
RL-KP-product_attribute-compat-matrix-truth-source-layering,matrix_truth_source_layering_rule,新增/调整 Persona×CT×Platform 矩阵相关任意一条边时,改 Persona×CT 真源 + 改 SUPPORTS_PLATFORM + 派生层运行时计算,新建 Persona×Platform 或 CT×Platform 关系边 / 静态写入派生表,出现单点平台例外可升级为真源边，但默认起点仍是本分层,domain_general,KP-product_attribute-compat-matrix-truth-source-layering
RL-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel,parallel_object_type_specification,设计或评审平台层对象类型 / Q3 真源被 Q4 引用时,保留两类并列实体 派生引擎正确区分公私域查 tier 导购私域转化主路径完整可见,合并为单一 Platform 或引入 DistributionTarget→公私域字段差异被压扁→私域转化被算法逻辑误导,口语统称允许；新增第三类→新增并列实体；想统一查询→union 视图层 不合并底层,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
RL-KP-service_judgment-derived-view-risk-inherits-from-source-edge,derived_view_risk_propagation,"派生引擎计算 (Persona,ContentType,Platform/Channel) 三元组的风险位时",risk 100% 来自真源边 风险信息全链路保真 不被平台档位稀释,按 tier 折算风险→高 tier 平台把人设错位高风险吞掉→品牌真实性塌陷,平台合规风险独立挂 PlatformTone.platform_risk；想降 risk 改真源边不走平台稀释,domain_general,KP-service_judgment-derived-view-risk-inherits-from-source-edge
RL-KP-service_judgment-product-review-concerns-clearance-on-spot,on_spot_concerns_clearance_test,实体门店接客 / 顾客已说出具体顾虑 / 1-2 人即可,复述顾虑+现场测试（逆光/侧身/贴脸颊）+延迟结论 → 顾客被同盟而非被种草,形容词代替测试 → E1 红线 / 主动列优点不让说顾虑 → 销售推销 / 测完直接催单 → 硬广反感,顾客未说顾虑 → store_daily 欢迎流程 / 顾虑超出测试能力 → C2-3 面料侦探 / 引流场景 → C3-2 创作者自述版,domain_general,KP-service_judgment-product-review-concerns-clearance-on-spot
RL-KP-styling_rule-behind-scenes-parallel-split-screen,content_play_card_anchor,behind_the_scenes 拍摄/上新/门店现场 + 1-2 人 + 剪映双屏,左右同步并置（体面 vs 救火）→ 调用共享引擎 #2 认知反转 → C3 突破档,做成前后切换 → 退化为 event_documentary C3-3 / 无真实画面外素材强行分屏 → 表演化,后台为事件服务 → event_documentary 错位展示版本,domain_general,KP-styling_rule-behind-scenes-parallel-split-screen
RL-KP-styling_rule-behind-scenes-store-soundprint,content_play_card_anchor,实体门店 BTS 选卡 / 想沉淀品牌声音资产 / 1 人手机+可选领夹麦,10 段店内空间声音+极近景+中段静音+关灯收尾 → 共享引擎 #11 ASMR → 闭眼能听完,配 BGM 遮原声 / 视觉为主 / 复用同声音 → 退化为店内 vlog / 商品音效广告,工作动作 ASMR → role_work C3-3 / 面料触感 → process_trace C3-6 或 product_review C3-3 / 生活时段声音 → daily_fragment C3-4,domain_general,KP-styling_rule-behind-scenes-store-soundprint
RL-KP-styling_rule-daily-fragment-fixed-corner-time-fold,content_play_card_anchor,daily_fragment long_term 选卡 / 5-7 天连续素材积累 / 服装品牌做陪伴感内容,固定机位+跨日重复同时刻+服装作为时间变化证据 → 不连续瞬间集合的隐形时间线索,加旁白讲故事 → 滑向 personal_vlog 连续感 / 加穿搭讲解 → 滑向 OOTD/硬广,无法等多日 → C3-2 单日痕迹版 / 单日时段切换 → C3-5 同一椅子四次,domain_general,KP-styling_rule-daily-fragment-fixed-corner-time-fold
RL-KP-styling_rule-daily-fragment-sensory-sort-not-time,content_play_card_anchor,daily_fragment 单日 4 小时 / 想突出体感而非事件,三段感官分类（最软/最吵/最安静）+ 字幕极简 → 观众接住体感不是行程,做成商品分类 → 产品广告 / 加事件解释 → 滑向 personal_vlog,时间线索 → C3-1 / 声音单维度 → C3-4 / 决定穿什么 → OOTD C3-5,domain_general,KP-styling_rule-daily-fragment-sensory-sort-not-time
RL-KP-styling_rule-daily-fragment-single-chair-time-fold,content_play_card_anchor,daily_fragment 单日 4 小时内完成 / 服装品牌做温柔叙事,单机位+4 时段道具替身（外套/咖啡/购物袋/灯）+只露手+停 2 秒 → 服装作为情绪载体,换成商品摆拍/字幕讲卖点/加 BGM → 退化为商品碎片或 store_daily,想跨日 → C3-1 同一角落 / 想出镜 → personal_vlog / 想拍商品 → OOTD 或 product_review,domain_general,KP-styling_rule-daily-fragment-single-chair-time-fold
RL-KP-styling_rule-ootd-micro-suspense-decision-chain,content_play_card_anchor,OOTD C3 突破档 / 服装可解决具体场景问题 / 1 人手机 4 小时内,微悬疑开场+换装因果链（手机震动/走光/线头）+收口悬疑 → 决策过程被叙事化,因果改卡点 → C1-3 默认禁用 / 换装无因果 → 流水账 / 悬疑不收 → 钩子断,无功能差异 → C3-2 身份协商或 C3-6 情绪衣橱 / 不擅剪因果 → C3-1 路线适配 / 商品顾虑证据 → product_review C3-2,domain_general,KP-styling_rule-ootd-micro-suspense-decision-chain
RL-KP-styling_rule-ootd-route-fitness-not-display,content_play_card_anchor,OOTD C3 突破档 / 服装有真实生活功能可拍 / 1 人 1 手机真实路线,真实路线+4 个生活功能字幕（挡风/收袖/走动/松弛）→ 观众接住生活+情绪双功能,空词字幕 → E3 红线 / 加 SKU 报菜名 → E4 红线 / 摆拍多机位 → 镜前转圈变体,商品评测重心 → product_review C3-1 / 个人情绪流 → personal_vlog / 礼服无功能 → C3-2 身份协商或 C3-6 情绪衣橱,domain_general,KP-styling_rule-ootd-route-fitness-not-display
RL-KP-training_unit-behind-scenes-near-disaster-narrative,bts_near_disaster_narrative_arc,BTS 进阶档玩法（C2-1/C2-4/C3-1/C3-8）选材,1 个翻车点+临场调整+最终镜头定格2秒 → 观众获得参与感+理解品牌为什么这样呈现,翻车点平铺/只拍翻车不拍解决/搞笑 BGM 喂点 → C1-1 NG 集锦默认禁用 / 凡尔赛抱怨 → E5 演戏红线,翻车连载化 → C3-8 自嘲家族 / 翻车无解决 → C2-2 非 glamour 劳动,domain_general,KP-training_unit-behind-scenes-near-disaster-narrative
RL-KP-training_unit-ootd-anti-hard-ad-discipline,ootd_anti_hard_ad_discipline,OOTD 进阶档以上字幕/口播/形容词检查,功能或问题字幕+动作和理由口播+可验证细节形容词 → C2/C3 进阶档成立,SKU 清单字幕/姐妹冲口播/氛围感空词 → 命中 E3/E4/E6 → C1 默认禁用,评测重心 → product_review / 标 SKU → product_copy_general,domain_general,KP-training_unit-ootd-anti-hard-ad-discipline
RL-KP-service_judgment-product-review-tactile-court-three-piece-compare,tactile_court_three_piece_audio_compare,实体门店接客 / 顾客在 2-3 件同品类间犹豫 / '看起来差不多但价格差大'的品类,桌面俯拍三件+三段测试（揉搓/拉伸/贴麦）+单维度裁决 → 顾客自得结论,边操作边口播 → 退口播销售 / 多维度同时裁决 → 信息过载 / 不同品类对照 → 失对照前提,单件无对照 → C3-2 顾虑解除 / 触感差异不明显 → C2-3 面料侦探 / 顾客不愿等 → store_daily 高效接客,domain_general,KP-service_judgment-product-review-tactile-court-three-piece-compare
RL-KP-training_unit-product-review-fabric-detective-spec-party,fabric_detective_evidence_chain,材质差异显著的服装品类 / 不擅长口播的创作者 / 1 人手机+可选微距夹镜头,五步证据链（洗标→纱线→揉搓→对比→收口）+ 术语字幕化 → 信息服务型稀缺测评,成分=唯一卖点 → 体感缺失 / 揉搓不对比 → 失证据 / 加'高级面料'形容词 → C1 默认禁用 / 微距拍不清 → 证据失效,材质差异不显著 → C3-3 触感法庭 / 体感反馈 → C2-1 体感测评 / 反种草 → C2-4,domain_general,KP-training_unit-product-review-fabric-detective-spec-party
RL-KP-product_attribute-enterprise-narrative-six-section-shell,schema_template_application,6 类企业叙事内容生产；任何品牌、任何门店级别均适用,"6 字段全部具体填满；选题在""进阶""或""突破""档位；明确避开主流烂玩法；制作难度与拍摄者条件匹配 → 内容立得住、可执行","字段缺位或被泛话填充（例如""输出有价值的内容""），落到主流烂玩法档位却不自知，结果是 AI 一眼能仿、观众一眼能跳",enterprise_narrative 6 段字段壳,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
