evidence_id,source_md,source_anchor,evidence_quote,source_type,inference_level,brand_layer,source_pack_id
EV-KP-fabric_property-linen-natural-creases,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、首批 FabricKnowledge 正式冻结清单 · 2. 亚麻 / 棉麻类,它的高级感很大一部分恰恰来自自然折痕和纤维表情。正式风险提示冻结为：肘部、臀部、坐位、前门襟容易出褶；版型越直、越薄、越浅色越要把透感和皱感提前说清。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-linen-natural-creases
EV-KP-service_judgment-comfort-sensitive-trigger,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、10 类进店目的 · 8. comfort_sensitive,店员第一反应：先确认她介意的是触感、温度、透度、弹性、静电还是内搭难度。最容易卡住：不是卡第二套是卡信任。体感没讲透后面推几套都白搭。,explicit_business_decision,direct_quote,domain_general,KP-service_judgment-comfort-sensitive-trigger
EV-KP-display_rule-full-look-no-broken-size,Q7Q12-搭配陈列业务包/陈列方法包.md,二、6. full_look_display + 三、2)/3) + 四、联动,不适合库存状态：broken_size_partial / clearance_tail_stock / 主件或关键辅件断码的伪成套状态。少一件就散顾客带不走。window_display、mannequin_display、full_look_display 必须过库存校验不得用断码伪成套。,explicit_business_decision,direct_quote,domain_general,KP-display_rule-full-look-no-broken-size
EV-KP-product_attribute-core-category-7-plus-3,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.1,首批正式冻结为 7 个主母类 + 3 个扩展母类。门店最高频接客、试衣间救场、陈列分区、培训演示都能用同时不会一上来把库做得又散又重。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-core-category-7-plus-3
EV-KP-product_attribute-shared-6-decision-dims,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.2,冷启动统一要求每个母类至少挂 6 个共用核心维度 color/material/fit/length/season/occasion 这是本轮硬冻结口径。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-shared-6-decision-dims
EV-KP-product_attribute-synonym-convergence,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.3,品类叫法统一/属性叫法统一各组散乱叫法收敛为标准术语。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-synonym-convergence
EV-KP-product_attribute-no-forced-merge,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.3 明确不得强收,卡其≠驼色 真丝≠醋酸 修身≠合体 短款≠常规偏短,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-no-forced-merge
EV-KP-product_attribute-decision-level-hard-vs-high,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.4,硬改搭配结论的属性 fit/length/material/color/occasion/season 这些一变整套推荐通常要重算。高频改 neckline/sleeve_length/waistline/rise/pattern/layer_role。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-decision-level-hard-vs-high
EV-KP-display_rule-attribute-driven-display,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.5,最直接影响陈列的是 color/Collection/Category/length/fit/season/pattern/occasion。视觉陈列的核心就是用分组、颜色、焦点位、人体模特/人台组合帮助顾客快速理解商品关系、降低选择负担。,explicit_business_decision,direct_quote,domain_general,KP-display_rule-attribute-driven-display
EV-KP-product_attribute-display-only-fields,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.6,以下字段保留但首轮不进入即时搭配/陈列主判断 fabric_story/craft_story/designer_note/care_instruction/selling_points_copy/model_reference 主要给培训生成、详情页、销售话术用。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-display-only-fields
EV-KP-product_attribute-collection-cold-start-scope,Q7Q12-搭配陈列业务包/商品与属性基础包.md,6.7,Collection 先只承担三件事主题归组/成组陈列/培训说明。本轮不把 Collection 直接升成搭配硬约束。,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-collection-cold-start-scope
EV-KP-styling_rule-proportion-split-37,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 01 + 6.2 + 6.4 反转二,全身视觉分割优先做 3:7、4:6，避免 5:5；works_in：高腰裤/高腰裙、短上衣、塞衣角、短外套；fails_in：上衣卡胯、裙长停在小腿最粗处、裤长和鞋口双截断；反转二：低腰复古、Y2K、模特感拍摄可以故意做下坠比例。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-proportion-split-37
EV-KP-styling_rule-silhouette-balance,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 02 + 6.2 + 6.4 反转一,一身最多只留一个量感重点，上宽下收，或上收下宽；works_in：宽针织配直筒裤，廓形西装配窄裙，阔腿裤配合体上衣；fails_in：宽卫衣+宽裤+厚底鞋；替代先守廓形角色不先守颜色；反转一：高个偏瘦/oversize 街头风可上下同宽。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-silhouette-balance
EV-KP-styling_rule-waistline-anchor,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 03 + 6.2,只要顾客诉求是显高、显瘦、显精神，先找腰线；works_in：高腰下装、短外套、半塞衣角、腰带辅助；fails_in：长上衣全盖、低腰下装、宽松直筒裙无收束；高腰断码可用腰带/短外套/内外层次制造假腰线，不能直接用无腰线替代。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-waistline-anchor
EV-KP-styling_rule-one-focus,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 04 + 6.2,一套里只留一个主角：颜色、版型、材质、设计四选一；零售穿搭不是造型比赛；works_in：亮色外套+基础内搭；设计感上衣+干净下装；fails_in：亮片上衣+花裙+金属鞋+大耳环；主角断货时替代保留主角功能。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-one-focus
EV-KP-styling_rule-color-echo,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 05 + 6.2,一身颜色至少有两处呼应，不让某个颜色孤零零悬着；公开零售陈列指南把颜色分组和焦点组织视为最直接的视觉销售工具；works_in：鞋包呼应、上衣配饰呼应、内搭下装轻呼应；fails_in：全身只有一处亮色，其他完全断开；同色替代可同温度/同明度内微调，不能冷暖乱跳。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-color-echo
EV-KP-styling_rule-neutral-plus-accent,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 06 + 6.3 + 6.4 反转三,顾客怕出错、第一次成交、主推通勤时，先用中性色打底，再加一处提气；works_in：米白/灰/驼/藏青打底，丝巾/鞋/包/内搭提气；fails_in：全身都灰、都米但没有材质层次；提气色断货可把提气点转移到配饰；反转三：节庆/潮流年轻客群允许高饱和直接上身。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-neutral-plus-accent
EV-KP-styling_rule-structure-drape,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 07 + 6.3,挺的配垂的，厚的配薄的，糯的配利落的；材质关系决定一套衣服的质感和贵气感；works_in：挺括西装配垂感裙，毛绒外套配牛仔，真丝衬衫配西裤；fails_in：全身都软塌或全身都硬挺；替代先守材质角色再守颜色。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-structure-drape
EV-KP-styling_rule-premium-item-neutralization,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 08 + 6.3 + 6.4 反转四,皮草、亮片、绸缎、重工外套等贵气单品要配基础休闲件降压；原理是用基础款休闲单品搭配奢华单品降低视觉压迫感；works_in：皮草+牛仔，缎面半裙+针织，亮片上衣+西裤；fails_in：贵气单品再叠贵气单品；中和单品必须保留哑光/基础/低压力特征；反转四：晚宴/婚礼/典礼场景顺贵气走。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-premium-item-neutralization
EV-KP-styling_rule-face-brightness,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 09 + 6.3,离脸最近那一层优先解决气色不优先解决时髦；顾客最直观反馈是脸色好不好/我显不显老；works_in：围巾、内搭、领口、耳饰提亮；fails_in：整体比例都对但近脸颜色发灰发黄；上装缺货可优先替换近脸提亮件不必整套推翻。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-face-brightness
EV-KP-styling_rule-formality-consistency,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 10 + 6.2,正式场合下单品正式度尽量统一；场合错位是顾客说不出哪里怪但就是不买的原因；works_in：西装+皮鞋/乐福鞋，衬衫+西裤，结构连衣裙+干净外套；fails_in：套装配过于休闲鞋，礼服感上衣配破洞牛仔；正式裤断码只能换同级正式度单品。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-formality-consistency
EV-KP-styling_rule-menswear-belt-shoe,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 11 + 6.2 + 6.4 反转五,男装正式穿着里腰带与鞋的颜色、皮质感、正式度要尽量一致；works_in：黑鞋黑带、棕鞋棕带、光泽与正式度相近；fails_in：黑皮鞋配浅棕编织带、正装鞋配明显牛仔休闲带；鞋没货优先找同色同正式度鞋；反转五：休闲/球鞋/工装/无腰带场景可放松，进入 formal dressing 重新生效。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-menswear-belt-shoe
EV-KP-styling_rule-single-problem-priority,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 12 + 6.2,接客时一次先解决顾客一个核心顾虑不同时解决五个问题；真正成交不是卖点堆满而是顾虑被减掉；suitable_for：全部导购/全部门店；not_suitable_for：无；fails_in：上来就说显高显瘦显气质显贵显年轻；原款缺货替代必须优先守住顾客最在意的那一个点。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-single-problem-priority
EV-KP-styling_rule-substitution-priority-ladder,Q7Q12-搭配陈列业务包/搭配规则包.md,6.5,四级优先：第一守 silhouette 廓形；第二守 formality_level 正式度；第三守 visual_weight 视觉重量（贵价救场材质像不像比颜色像不像更关键）；第四守 color_family 色系家族（同温度同明度内微调，不能冷暖乱跳）；不能替代的情况：廓形变了/正式度掉了/近脸颜色把气色打脏/材质从贵感换成廉价反光/量感从修饰变成放大问题；断码替代不找长得像的找功能一样的。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-substitution-priority-ladder
EV-KP-styling_rule-looks-good-but-unsellable,Q7Q12-搭配陈列业务包/搭配规则包.md,6.6,7 类反例：all_oversized_look 拍照有风格门店里大多数顾客会觉得自己变壮；flat_neutral_look Lookbook 好看试衣间易被说没精神；double_statement_look 内容里时髦零售里用力过猛；fragmented_leg_line_look 低腰+裤长/裙长截断+脚口再截断显短；luxury_overstack_look 皮草配缎裙配闪鞋配大耳环远看成立近看日常没法卖；formal_casual_mismatch_look 上半身正式下半身/配件太休闲；theme_without_problem_solution_display 墙面漂亮但说不清解决什么问题转化率差。陈列要降低顾客理解成本/快速建立焦点/帮助顾客想象自己穿上后的样子。,explicit_business_rule,direct_quote,domain_general,KP-styling_rule-looks-good-but-unsellable
EV-KP-fabric_property-cotton-knit-familiar-trap,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、1. 棉针织 / 棉弹类,最容易误导顾客的点有三条：纯棉不等于不透；纯棉不等于不变形；纯棉也不等于穿久了还保持领口利落。 正式风险提示冻结为：领口松、下摆卷、白浅色透、汗后贴身、机洗后回缩、针织类更容易出现尺寸波动。 CottonWorks 也明确指出 shrinkage（缩水）会影响 fit（合体感）、seam puckering（缝口起皱）、skew（扭斜）以及面辅料关系。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-cotton-knit-familiar-trap
EV-KP-fabric_property-viscose-modal-tencel-mirror-win,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、3. 粘胶 / 莫代尔 / 天丝类,"这类最容易在镜前赢，但也最容易在穿后暴露问题。 最容易误导的是把""软垂""说成""修形""。很多时候它只是顺着身体线条走，不会帮顾客藏掉她在意的位置。 正式风险提示冻结为：贴肉、挂长、缝位变形、薄款暴露体表痕迹、浅色透、久穿后局部发亮。",explicit_business_decision,direct_quote,domain_general,KP-fabric_property-viscose-modal-tencel-mirror-win
EV-KP-fabric_property-silk-acetate-satin-honest-fabric,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、4. 真丝 / 醋酸 / 缎面类,"这类不是""显贵万能牌""，而是""对穿着状态很诚实""的面料。 最容易误导的是只卖光泽，不讲暴露感。 正式风险提示冻结为：勾丝、水痕、压痕、静电、浅色透、局部发白、体表痕迹明显； 这类面料推荐时必须同步判断顾客对""痕迹暴露""的容忍度。",explicit_business_decision,direct_quote,domain_general,KP-fabric_property-silk-acetate-satin-honest-fabric
EV-KP-fabric_property-wool-cashmere-care-claim-bound,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、5. 羊毛 / 羊绒 / 毛混类,"最容易误导的是""含毛=高级""""羊绒=永远不起球""""毛类=都要手洗""。 正式风险提示冻结为：摩擦位起球、包带处先老、局部起毛、毡缩、刺痒、肩肘膝鼓包。 能否机洗必须看洗护标；Woolmark 明确说明，只有洗护声明允许机洗的 wool garment 才可安全机洗。",explicit_business_decision,direct_quote,domain_general,KP-fabric_property-wool-cashmere-care-claim-bound
EV-KP-fabric_property-denim-twill-mirror-not-truth,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、6. 牛仔 / 斜纹重棉类,"这类最典型的特点是镜前立得住、陈列也有型，但真正的成交判断不该只看镜前。 最容易误导的是""显瘦有精神""就直接推，忽略久坐、蹲起、闷热、掉色和回缩。 正式风险提示冻结为：腰腹压迫、膝盖鼓包、裆部紧、深色掉色、未经充分预洗时存在回缩和扭斜风险。",explicit_business_decision,direct_quote,domain_general,KP-fabric_property-denim-twill-mirror-not-truth
EV-KP-fabric_property-chiffon-organza-layering-tool,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、7. 雪纺 / 欧根纱 / 轻透材,"这类更适合做层次工具，不适合默认按""主面料安全款""去卖。 最容易误导的是把它当成""显瘦遮肉""单穿主力。 正式风险提示冻结为：透感、静电、勾丝、挂纱、缝口起皱； 精细轻薄材质本身就更容易出现 seam puckering 问题。",explicit_business_decision,direct_quote,domain_general,KP-fabric_property-chiffon-organza-layering-tool
EV-KP-fabric_property-polyester-nylon-functional-no-blanket,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、8. 涤纶 / 锦纶 / 功能化纤类,"这类不能用""化纤""一刀切。它真正的分水岭在纱线、织法、后整理和用途。 最容易误导的是只讲""好打理""，不讲闷、静电、摩擦发亮、面料噪音。 正式风险提示冻结为：静电、热感、发亮、摩擦位先老、表面起毛、里外层手感落差大。",explicit_business_decision,direct_quote,domain_general,KP-fabric_property-polyester-nylon-functional-no-blanket
EV-KP-craft_quality-preshrink-wash-set-after-sale-front,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、1. 预缩 / 水洗 / 定型,"这组正式定义为""售后前置工艺""。 它直接决定一件衣服洗后会不会缩、歪、扭、变短，决定裤线、裙摆、袖长会不会洗一次就走样。 门店说这件""耐穿、稳定、好打理""之前，必须先判断预缩、水洗和定型是否成立。 CottonWorks 明确指出 shrinkage 受面料结构、湿处理、整理以及成衣制造过程共同影响。",explicit_business_decision,direct_quote,domain_general,KP-craft_quality-preshrink-wash-set-after-sale-front
EV-KP-craft_quality-sewing-stitch-pucker-near-eye,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、2. 缝制质量,"这组正式定义为""近看质感工艺""。 顾客不一定会说 seam puckering 这个词，但她一定能看出""这件怎么有点抽、歪、鼓、皱""。 Coats 对 seam puckering 的说明很清楚：它不只是线的问题， 还和 fabric structure、seam construction、thread / needle size 以及 feeding problems 有关。",explicit_business_decision,direct_quote,domain_general,KP-craft_quality-sewing-stitch-pucker-near-eye
EV-KP-craft_quality-fusing-lamination-silhouette-gate,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、3. 粘合衬 / 贴合 / 复合,"这组正式定义为""轮廓成立工艺""。 领口、门襟、驳头、裤头、袖山，一旦衬用错或贴合不稳，陈列时还能撑，穿几次就可能翻边、起泡、脱层。 凡是要用""挺、立、利落、骨架感""做卖点的单品，都要先过这组判断。",explicit_business_decision,direct_quote,domain_general,KP-craft_quality-fusing-lamination-silhouette-gate
EV-KP-craft_quality-dye-fastness-daily-risk,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、4. 染整 / 色牢度,"这组正式定义为""日常使用风险工艺""。 不是只有深色才要看色牢度，浅深拼接、浅色内搭、包带摩擦、汗液摩擦都要看。 凡是顾客会长期背包、贴身穿、或者浅深叠穿的单品，都必须把褪色 / 沾色风险前置说明。",explicit_business_decision,direct_quote,domain_general,KP-craft_quality-dye-fastness-daily-risk
EV-KP-craft_quality-brushing-napping-aging-speed,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、5. 磨毛 / 拉毛 / 起绒 / 防起球,"这组正式定义为""第一触感与老化速度工艺""。 很多单品上手很讨喜，但三次之后就显旧，问题往往不在设计，而在表层处理和摩擦位耐受。 凡是卖点写""软、糯、绒、暖、亲肤""的单品，都要同步判断背包位、腋下、袖口、内侧会不会先起毛、起球、发旧。",explicit_business_decision,direct_quote,domain_general,KP-craft_quality-brushing-napping-aging-speed
EV-KP-craft_quality-pleat-topstitch-pattern-match-care,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、6. 压褶 / 明线 / 对条对格 / 细节收口,"这组正式定义为""讲究感工艺""。 它最直接决定陈列是不是高级、近看是不是用心。 百褶稳不稳、线迹直不直、格纹对不对、滚边净不净，顾客不一定会说术语，但一定会据此把衣服归类成""讲究""还是""将就""。 凡是要卖""做工感、品质感、工艺感""的单品，这组必须先看。",explicit_business_decision,direct_quote,domain_general,KP-craft_quality-pleat-topstitch-pattern-match-care
EV-KP-fabric_property-soft-not-equal-premium,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 1,正式纠偏：软只说明触感，不说明轮廓成立。软垂类面料要同步判断贴肉、挂长、暴露体表痕迹风险。 落盘对象：StylingRule（搭配规则）、TrainingMaterial（培训材料）。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-soft-not-equal-premium
EV-KP-fabric_property-heavy-not-equal-quality,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 2,正式纠偏：重可能只是厚、闷、压身；质感要看表面、回弹、结构、缝制和使用后的稳定性。 落盘对象：Product（商品）、TrainingMaterial（培训材料）。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-heavy-not-equal-quality
EV-KP-fabric_property-wrinkle-not-equal-low-grade,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 3,正式纠偏：有些皱是材质特性，不是低级；关键是顾客是否接受这种表情，以及场景是否允许。 落盘对象：FabricKnowledge（面料知识）、TrainingMaterial（培训材料）。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-wrinkle-not-equal-low-grade
EV-KP-fabric_property-gloss-not-equal-luxe,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 4,正式纠偏：光泽会同步放大体表痕迹、褶印、贴肉和廉价感；不是所有光泽都显贵。 落盘对象：StylingRule（搭配规则）、Product（商品）。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-gloss-not-equal-luxe
EV-KP-fabric_property-pure-cotton-not-zero-risk,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 5,正式纠偏：纯棉也会透、会卷、会缩、会变形；针织棉更要看领口、下摆和洗后稳定性。 落盘对象：FabricKnowledge（面料知识）、TrainingMaterial（培训材料）。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-pure-cotton-not-zero-risk
EV-KP-fabric_property-composition-only-no-scenario-bound,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 6,正式纠偏：成分只是起点，真正决定成交的是场景、动作、出汗、久坐、洗护、摩擦。 落盘对象：Product（商品）、product_review（产品测评）。,explicit_business_decision,direct_quote,domain_general,KP-fabric_property-composition-only-no-scenario-bound
EV-KP-craft_quality-store-risk-discipline-evidence-first,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,七、门店统一口径,"能不能机洗，看洗护标，不看感觉。 会不会缩水，看预缩 / 水洗 / 定型，不看""摸起来稳不稳""。 会不会起皱，看纤维、织法、整理，不看它挂着时平不平。 会不会透，看颜色、厚度、织法、光线，不看静态陈列。 会不会起球，看摩擦场景，不只看材质名。 会不会勾丝，看表面精细度和使用场景，不只看价格。 会不会显廉价，看面料表情、缝制、收口、光泽控制，不看营销词。 会不会翻车，看顾客穿着习惯和容忍度，不看镜前第一眼。",explicit_business_decision,direct_quote,domain_general,KP-craft_quality-store-risk-discipline-evidence-first
EV-KP-training_unit-microlearning-not-long-course,Q7Q12-搭配陈列业务包/培训与纠错包.md,二、训练原则 2.1+2.5,培训要做成 microlearning、just-in-time、scenario-based、Do/Don't，而不是长课；完成的标志不是看过而是现场能复现,explicit_business_decision,direct_quote,domain_general,KP-training_unit-microlearning-not-long-course
EV-KP-training_unit-priority-by-impact-frequency-trust,Q7Q12-搭配陈列业务包/培训与纠错包.md,二、2.2 + 九、priority_error_group,优先顺序只看三件事：conversion_impact / error_frequency / trust_damage；第一优先级只抓影响成交的 8 类,explicit_business_decision,direct_quote,domain_general,KP-training_unit-priority-by-impact-frequency-trust
EV-KP-training_unit-standard-action-vs-judgment-skill,Q7Q12-搭配陈列业务包/培训与纠错包.md,二、2.4 + 十、training_split_policy,standard_action 可以拍成固定步骤；judgment_skill 必须放到情境里练；列出标准动作类与判断力类各自的内容清单,explicit_business_decision,direct_quote,domain_general,KP-training_unit-standard-action-vs-judgment-skill
EV-KP-training_unit-customer-first-look-judgment,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C1 first_look_judgment,先看顾客是在找场景、找问题解法还是找具体衣服；20 秒内判断顾客属于场景型/单品型/体感型/价格型,explicit_business_decision,direct_quote,domain_general,KP-training_unit-customer-first-look-judgment
