pack_id,brand_layer_dir,suggested_layer,confidence,suggestion_rationale,needs_human_review,reviewer_decision,final_layer,production_tier,default_call_pool,review_notes
KP-service_judgment-store-daily-three-required-elements,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-service_judgment-urgent-full-look,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-service_judgment-weekend-social,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-styling_rule-behind-scenes-invisible-completion-cost,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-behind-scenes-parallel-split-screen,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-behind-scenes-store-soundprint,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-color-echo,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-daily-fragment-fixed-corner-time-fold,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card', 'tier']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-daily-fragment-no-face-traces,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-daily-fragment-sensory-sort-not-time,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-daily-fragment-single-chair-time-fold,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card', 'long_term']",false,accept,L2,long_term,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-face-brightness,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-formality-consistency,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-looks-good-but-unsellable,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-menswear-belt-shoe,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-neutral-plus-accent,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-old-sample-as-error-archive,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-styling_rule-one-focus,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-ootd-clothes-remember-today,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-ootd-micro-suspense-decision-chain,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-ootd-route-fitness-not-display,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-pcg-moment-over-category,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-premium-item-neutralization,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-process-trace-rejected-garment,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '选题']",false,accept,L2,,,auto-accept (high confidence)
KP-styling_rule-process-trace-single-hard-fake-step,domain_general,L2,medium,"L2 词 ≥2: ['玩法', 'tier', 'brand_tier']",false,accept,L2,,,auto-accept (high confidence)
KP-styling_rule-product-journey-sample-version-tree,domain_general,L1,low,含 L2 词 1（['玩法']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
KP-styling_rule-product-journey-vs-process-trace-boundary,domain_general,L1,low,含 L2 词 1（['玩法']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
KP-styling_rule-proportion-split-37,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-silhouette-balance,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-single-problem-priority,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-structure-drape,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-substitution-priority-ladder,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-styling_rule-talent-showcase-micro-skill-hundred-reps,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-styling_rule-waistline-anchor,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-ai-tone-banned-list-veto,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-auto-trigger-rules,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-behind-scenes-near-disaster-narrative,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-training_unit-body-shape-objection-structure-points,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-cold-start-role-priority-frontline,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-collect-failure-not-only-success,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-collect-real-action-before-script,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-color-hesitation-disambiguation,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-concrete-action-over-adjective,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-content-template-saturation-anti-pattern,domain_general,L3,medium,"L3 词 ≥2: ['口播', '动作']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-customer-first-look-judgment,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-designer-locate-defect-source,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-emotion-expression-9-ai-tone-banlist,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-emotion-expression-truth-3-questions-prepublish,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-engine-vs-play-by-cross-ct-test,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-enterprise-narrative-anti-ai-tone,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '选题']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-enterprise-narrative-north-star-first,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '选题']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-enterprise-narrative-object-witness-over-talking-head,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '选题']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-error-first-then-correct-replay,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-training_unit-event-documentary-failure-perspective,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-event-documentary-long-term-tier-discipline,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-training_unit-evidence-shape-four-types,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-fabric-touch-before-spec,domain_general,L3,medium,"L3 词 ≥2: ['口播', '动作']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-founder-profile-brand-unique-layer,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-founder-profile-soft-use-no-rename,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-greeting-format-lock,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-grounding-over-polish-default,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card', 'tier']",false,override,L1,,,玩法治理/字段壳规则，不是单张玩法卡，回标L1
KP-training_unit-humor-content-brand-tone-gate-for-puppetry,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,override,L1,,,玩法治理/字段壳规则，不是单张玩法卡，回标L1
KP-training_unit-humor-content-clothing-as-persona-switch,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-knowledge-not-teacher-but-event,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-kuleshov-context-driven-emotion-edit,domain_general,L3,medium,"L3 词 ≥2: ['镜头', '动作']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-lifestyle-expression-old-defines-premium,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡', 'long_term']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-lifestyle-expression-values-via-rejection,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-merch-director-stylable-not-sellable,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-microlearning-not-long-course,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-objection-clearing-over-selling-points,domain_general,L1,low,含 L2 词 1（['实拍']），可能 L1/L2 边界，需审,true,accept,L1,,,确认L1概念/规则层，不需要生产分级字段
KP-training_unit-on-floor-four-layer-assessment,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-ootd-anti-hard-ad-discipline,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-persona-anti-pattern-checklist,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-persona-vs-roleprofile-layering,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-priority-by-impact-frequency-trust,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-process-trace-stop-the-bad-one-builds-trust,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-product-review-anti-filter-pledge,domain_general,L3,medium,"L3 词 ≥2: ['镜头', '口播']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-product-review-fabric-detective-spec-party,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-training_unit-relational-witness-over-monologue,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-role-binding-frontline-priority,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-role-material-five-kinds-minimum,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-role-profile-required-skills-binding,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-roleprofile-not-speaking-shell,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-sample-worker-rework-as-judgment,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-shared-layer-registration-not-rewrite,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-silence-as-pattern-interrupt,domain_general,L3,medium,"L3 词 ≥2: ['口播', '解说']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-sop-asmr-procedural-memory,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-training_unit-standard-action-vs-judgment-skill,domain_general,L3,medium,"L3 词 ≥2: ['口播', '动作']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-store-manager-rhythm-first,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-styling-error-top-priority-eight,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-substitution-honest-disclosure,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-tactile-cue-language-online-compensation,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-talent-showcase-rescue-not-show-off,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-try-on-guidance-one-main-one-backup,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-warehouse-supervisor-fact-not-promise,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-service_judgment-product-review-concerns-clearance-on-spot-faye-positioning,needs_review,L2,high,yaml 含 play_card/tier 字段：['play_card'],false,override,L1,,,玩法治理/字段壳规则，不是单张玩法卡，回标L1
