pack_id,current_final_layer,current_confidence,suggestion_rationale,yaml_path,knowledge_assertion_excerpt,reviewer_decision,final_layer,production_tier,default_call_pool,review_notes
KP-product_attribute-content-type-north-star-behind-scenes,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-behind-scenes.yaml,"ContentType `behind_the_scenes`（幕后花絮）的北极星是""愿意把不完美给我看""—— 观众看完产生""原来你们也会手忙脚乱、也会临时救火、也会笑场，但正因为这样我更喜欢你们"" 的亲近感。这条北极星把幕后从""正片附属品 / teaser / 搞笑 NG 集锦"" 反向定义为""独立内容本体 = 看不见的完成成本""，**所有 behind_the_scenes 玩法卡是否成立必须按",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-daily-fragment,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-daily-fragment.yaml,"ContentType `daily_fragment`（日常碎片）的北极星是""原来普通生活不是没内容，是没人会这样看""—— 观众产生""这就是我的生活""式共鸣，情绪被轻轻托住。这条北极星把日常碎片 从""好看画面堆砌 / 一键成片拼盘 / 九宫格 Plog""反向定义为""碎片之间必须有隐形线索 / 选择逻辑""—— 没有选择逻辑的碎片就是空标签，与""配热门歌的碎片拼盘 / 一句话日记+一堆小镜头""等主流",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-emotion-expression,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-emotion-expression.yaml,"ContentType `emotion_expression`（情绪表达）的北极星不是""这句话真会写""， 而是""这感觉你居然也知道""——不是一个结论被砸下来，而是一个没说出口的感受被轻轻接住。 观众接住""我被看见了""后，愿意把自己的情绪放出来（点赞 / 评论 / 转发 / 收藏）， 对这个人 / 品牌产生更深层的情感连接。这条北极星把情绪表达从""金句喷射 / 戏剧化崩溃"" 反向定义为""克制的真实",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-founder-ip,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-founder-ip.yaml,"ContentType `founder_ip`（创始人 IP / 老板个人品牌）的北极星是""判断 + 代价 + 信任预支""—— 观众看完产生的不是""这老板在卖货""而是""这个人有判断、有代价、有性格，我愿意先信他、再信他的牌子""。 服装行业 founder_ip 的 C1 主流档（办公室对镜鸡汤口播 / 创业者一天流水账 / 成功故事拼贴 / 对镜穿搭 / 工厂巡视讲解）必须**强默认禁用**——",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-knowledge-sharing,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-knowledge-sharing.yaml,"ContentType `knowledge_sharing`（知识分享 / 干货科普）的北极星是""顿悟 + 信任""—— 观众看完不只是""我听懂了""，而是""我终于被一个真实懂的人讲明白了，并把你归类为可信、 讲得清楚、愿意讲真话的人""。所有 KS 玩法是否成立按这条反推： ""镜头前站桩讲 3 点 / PPT 化口播大字报 / 黄金三秒钩子耸动科普""判主流默认禁用， 因为它们只生产""结论""不生产""理",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-outfit-of-the-day,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-outfit-of-the-day.yaml,"ContentType `outfit_of_the_day`（OOTD 每日穿搭）的北极星是""我明白这套穿搭在表达什么， 我能想象自己穿上以后的状态""——观众接住的不是 SKU，而是审美与品牌的长期记忆。 这条北极星把 OOTD 从""镜前转圈+单品罗列 / GRWM 完成片 / 卡点变装""反向定义为 ""穿搭即决策 / 路线适配 / 身份协商 / 时间痕迹 / 情绪翻译""五个未被开发角度—— 并强",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-personal-vlog,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-personal-vlog.yaml,"ContentType `personal_vlog`（个人 Vlog）的北极星是""我陪这个人过了一小段真实生活， 对他产生真实好感与信任，愿意继续跟着他""——观众接住的是""你这个人""而不是""通用漂亮""。 这条北极星把 personal_vlog 与 daily_fragment 的硬区分锁定为""一天的连续感 vs 不连续瞬间集合""， 并把""算法奖励有灵魂的内容而非有套路的内容""作为反 AI 模板",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-process-trace,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-process-trace.yaml,"ContentType `process_trace`（工艺溯源 / 生产工艺与原料追溯）的北极星是""我愿意相信你没有骗我""—— 观众看完不是""知道工艺步骤""，而是对""这件衣服为什么值得被认真对待""产生**身体层面的理解**： 品质不是一句话，是一连串不能偷懒的动作。所有 process_trace 玩法是否成立按这条反推： ""车间走一遍配解说 / 工序说明书短视频 / 原料产地口号片 / 面料对",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-product-copy-general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-product-copy-general.yaml,"ContentType `product_copy_general`（通用产品文案 / 详情页 / 海报 / 私聊话术）的北极星是 ""在脑子里提前穿过一次、犹豫过一次、相信过一次""——文字与视觉一起把读者带进**具体的身体感受 和使用时刻**，让 ta 愿意把商品加入自己的生活。本 ContentType 是 18 份里**唯一的文字型 CT** （非视频），玩法卡 10 字段中的""30 秒分镜参",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-product-journey,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-product-journey.yaml,"ContentType `product_journey`（产品历程 / 产品从研发到上市的故事）的北极星是 ""差一点做成别的样子""——观众看完不是""这是一件突然出现在货架上的衣服""，而是 ""这是一段被反复推敲、被试错、被等待过的东西——我理解它为什么长这样，并愿意为这个价值付费""。 所有 product_journey 玩法是否成立按这条反推： ""从草图到成品的爽片 / 设计灵感说明书 / 上市",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-product-review,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-product-review.yaml,"ContentType `product_review`（产品测评）的北极星是""我已经在脑子里提前穿过一次、犹豫过一次、相信过一次""—— 观众看完后不是""知道这件衣服的参数""，而是**风险已经看清、信任已经建立、购买决策的心理阻力已经被消解**。 这条北极星把测评从""夸/不夸 / 显瘦显腿长 / 形容词三连""反向定义为 ""**风险解除 + 体感证据 + 顾虑同盟**""——所有 product_re",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-role-work-vlog,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-role-work-vlog.yaml,"ContentType `role_work_vlog`（岗位工作 Vlog）的北极星是""对这个岗位产生尊重 / 体感信任， 原来一件衣服背后站着的是一群有手感和判断的人""——观众接住的是""岗位的智力和手感""， 不是""这个人的人格""。这条北极星把 role_work_vlog 与 founder_ip 的硬边界锁定为 ""第一叙事重心是岗位 vs 人""——观众记住""版师/主理人这个岗位怎么改版"" →",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-talent-showcase,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-product_attribute-content-type-north-star-talent-showcase.yaml,"ContentType `talent_showcase`（才艺展示）的北极星是""观众看完不只是觉得'你很厉害'，而是 '你的能力有个性、有温度、能留下你这个人'——感到能力可信、可持续，并愿意把你当作'值得追随的人'""。 这条北极星把才艺展示从""技术炫耀 / 简历式拼盘""反向定义为""世界观构建 + 关系外溢""—— 所有 talent_showcase 玩法卡是否成立必须按此反推：只剩成品 / 卡",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-north-star-training-material,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡', '实拍']",candidates/domain_general/KP-product_attribute-content-type-north-star-training-material.yaml,"ContentType `training_material`（培训物料）的北极星不是""员工觉得讲得不错""，而是 ""员工 / 加盟商看完后下次真碰到场景时，脑子里会自动跳出正确动作""—— 我不困 / 我知道下一班 / 下一单怎么做 / 我能记住关键点 / 我愿意照做， 因为它省事 / 清楚 / 能让我少背锅。这条北极星把培训物料从""消费者向""显式切到 ""兵团向""——观众不是顾客而是员工 / 加盟商",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-content-type-three-tier-maturity,L2,medium,"L2 词 ≥2: ['玩法', 'tier']",candidates/domain_general/KP-product_attribute-content-type-three-tier-maturity.yaml,,override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-enterprise-narrative-six-section-shell,L2,medium,"L2 词 ≥2: ['玩法', '选题', 'production_difficulty']",candidates/domain_general/KP-product_attribute-enterprise-narrative-six-section-shell.yaml,企业叙事类内容（founder_ip / role_work_vlog / event_documentary / product_journey / process_trace / behind_the_scenes 共 6 类） 的可机器消费模板必须包含 6 个固定字段壳——north_star（北极星 / 观众看完心里发生什么）/ mainstream_played_out（已被用烂的主流玩,override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-product_attribute-troop-facing-register-five-fields,L2,medium,"L2 词 ≥2: ['玩法', 'shooting_feasibility', '实拍']",candidates/domain_general/KP-product_attribute-troop-facing-register-five-fields.yaml,"ContentType 在""兵团向（受众是内部员工 / 学员 / 加盟商）""语境下，5 个字段的语义自动切换：北极星（north_star）、 服装行业钩子（apparel_hook）、实拍可行性（shooting_feasibility）、红线（red_lines）、AI 辅助边界（ai_boundary）—— 这 5 个字段的字段名不变、字段壳不变，但读法切换为""对内员工训练""语义而非""对外消",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-service_judgment-store-daily-three-required-elements,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-service_judgment-store-daily-three-required-elements.yaml,判定一条内容是否归 ContentType `store_daily`（门店日常）必须三选二命中以下要素： ① 画面≥50% 时间出现门店可辨识空间（货架/镜子/试衣间/收银台/门口/后仓/吊牌墙）； ② 衣架/面料/吊牌/蒸汽熨斗/镜子/纸袋等门店特有物件出现≥3 次； ③ 至少包含一个真实零售运营动作（补货/熨烫/折叠/点钞/陈列/接待/打包/盘点）。 只命中 1 个或 0 个 → 应归 pe,override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-styling_rule-old-sample-as-error-archive,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-styling_rule-old-sample-as-error-archive.yaml,"服装行业 founder_ip 内容里""旧样衣 = 人格化错误档案""是一条独占叙事钩子—— 老板把一件被压在柜底的旧样衣（皱领口 / 失败版型 / 过时颜色）拿出来， 像审问旧证物一样指出""这里当时为什么错、那时我为什么会做这个决定、这件衣服暴露了我哪个阶段的幼稚""。 服装行业是唯一能做这种""判断证据链""内容的行业（其他行业没有具象的失败物件）， 所以 founder_ip 优先级别高于""决策日记",accept,L2,instant,true,
KP-styling_rule-process-trace-rejected-garment,L2,medium,"L2 词 ≥2: ['玩法', '选题']",candidates/domain_general/KP-styling_rule-process-trace-rejected-garment.yaml,"process_trace 内容生产纪律：拍**那件被拦下来的衣服**比拍合格品更能建立信任—— ""认真不是把好的拿出来炫，而是把'不够好的'挡在外面""。 服装行业极适合用""被拒绝的成衣""做内容（一毫米偏差 / 平整度不够 / 洗后状态不稳）， 观众很少被允许看到这个环节，因此**用淘汰建立信任**比用展示流程更稀缺。 这是 process_trace 的""边界感证据""独占玩法——用品牌愿意挡掉什",accept,L2,instant,true,
KP-styling_rule-process-trace-single-hard-fake-step,L2,medium,"L2 词 ≥2: ['玩法', 'tier', 'brand_tier']",candidates/domain_general/KP-styling_rule-process-trace-single-hard-fake-step.yaml,"process_trace 内容生产纪律：不试图拍全流程，而只拍一个**最容易看出真假的节点**—— 服装行业最难伪装的步骤集中在""对花 / 缝线收口 / 面料回弹 / 整烫肩线 / QC 拦下""， 单点深拍比全流程更有说服力。""knowing is the new owning""——年轻观众着迷的不只是 ""知道在哪做""，而是""知道怎么做、为什么这样做""。这条规则推翻""工艺溯源必须拍全流程""的默认",accept,L2,instant,true,
KP-training_unit-emotion-expression-truth-3-questions-prepublish,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-emotion-expression-truth-3-questions-prepublish.yaml,"emotion_expression（情绪表达）每张 C2/C3 玩法卡发布前必须答对""真实感三问""自检—— ① 画面锚点：内容里的画面 / 声音 / 地点 / 时间是当下真实发生的吗？（不是摆拍 / 不是素材库 / 不是模板生成） ② 情感锚点：情绪是此刻真实的，还是""构思出来的情绪剧本""？ ③ 外部锚点：有没有外部可验证的点（真实日期 / 地点 / 他人在场 / 天气 / 物件磨损痕迹）？ 三",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-training_unit-engine-vs-play-by-cross-ct-test,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-engine-vs-play-by-cross-ct-test.yaml,"判断一条内容创作技法是""玩法（PlayCard）""还是""引擎（NarrativeEngine）""的唯一硬测试是""跨 ContentType 复用度""—— 能在 ≥2 个 ContentType 里独立成立、且每个 CT 都能找到具体应用的 → 是引擎，进共享层；只在某一个 ContentType 内 独有、换 CT 就不成立的 → 是玩法，留在单 CT 玩法库。复用度低于 27%（实测 18 份 ",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-training_unit-enterprise-narrative-anti-ai-tone,L2,medium,"L2 词 ≥2: ['玩法', '选题']",candidates/domain_general/KP-training_unit-enterprise-narrative-anti-ai-tone.yaml,"企业叙事类内容存在一组""AI 一眼能仿""的高危主流玩法——办公室口播讲道理 / 创业者一天流水账 / 老板回答评论区 FAQ / 车间走一遍配解说 / 工序说明书短视频 / 拍摄花絮搞笑翻车 / 高能混剪圆满结束 / 设计灵感说明书。 共性是""结论先行 + 密字幕 + 励志/轻 vlog BGM + 没有现场判断 / 没有具体物件 / 没有真实代价""。 内容稿落进任一共性 → 必须改稿，否则 AI",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-training_unit-enterprise-narrative-north-star-first,L2,medium,"L2 词 ≥2: ['玩法', '选题']",candidates/domain_general/KP-training_unit-enterprise-narrative-north-star-first.yaml,"企业叙事类内容立项必须先写""北极星""——一句""观众看完心里发生什么""的具体目标，再选玩法档位与镜头清单； 北极星写不出具体心理状态（如""愿意先信他再信他的牌子""/""对岗位产生尊重""/""原来好看是很多普通人托出来的""）→ 选题不成立。 北极星缺位是企业叙事类内容最常见的失败根因——团队会用""提升品牌曝光""""讲好品牌故事""等泛话开拍，导致拍完没人能说清楚这条内容到底要让观众接住什么。",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-training_unit-enterprise-narrative-object-witness-over-talking-head,L2,medium,"L2 词 ≥2: ['玩法', '选题']",candidates/domain_general/KP-training_unit-enterprise-narrative-object-witness-over-talking-head.yaml,"企业叙事类突破玩法的共性手法是""把具体物件做主角，让物件代替口播承担叙事""——旧样衣 / 别针 / 蒸汽熨斗 / 衣架 / 试衣间门帘 / 布料摩擦声 / 缝纫机声 / 边角料 / 失败样衣等""低位物件""先于人脸入镜，人物的判断和品牌气质通过对物件的反应自然显形。 这不是装饰手法，而是反 AI 腔的具体可执行抓手：物件越具体、越带劳动痕迹，AI 仿写成本越高，观众""真实完成感""越强。",accept,L2,instant,true,
KP-training_unit-event-documentary-failure-perspective,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-event-documentary-failure-perspective.yaml,"event_documentary（事件纪实）允许且推崇""失败视角""作为 C3 突破性玩法之一——拍无人问津的展位 / 首日零订单的焦虑 / 布展翻车的瞬间 / 大促备货后卖不动的仓库。这违反主流""事件内容必拍光鲜场面""的套路，但能接住""这家品牌真的在扛过"" 的信任。服装行业是少数""敢展示失败就能赢信任""的行业之一——空展位 / 卖不动的尺码 / 退货堆积 / 布展翻车都极具 可视性。失败视角与 ",accept,L2,instant,true,
KP-training_unit-humor-content-clothing-as-persona-switch,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-humor-content-clothing-as-persona-switch.yaml,"humor_content（幽默内容）中""服装作为人格开关""是服装行业独有钩子——固定机位 + 仅通过加减一件外套 / 背包 / 鞋子 / 眼神 / 站姿，在 2 秒内切换成""顾客面前的自己 / 群里发消息时的自己 / 回家后瘫在椅子上的自己""三个完全不同的人。 没有特效，只要切点准。笑点来自身份落差而非台词，观众接住""我也有这三个自己""。这把幽默从台词笑升级为画面笑， 且服装在此不是美化道具，而",accept,L2,instant,true,
KP-training_unit-lifestyle-expression-old-defines-premium,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡', 'long_term']",candidates/domain_general/KP-training_unit-lifestyle-expression-old-defines-premium.yaml,"lifestyle_expression（生活方式表达）的""衣物磨损史""玩法用""旧""反向定义高级——把一件穿了很久的外套摊开， 袖口起球、内衬磨亮、口袋边缘有自己缝的线，手指摸过那些地方，然后穿上它出门做三件小事，每做完一件回桌面 给外套加一处痕迹，最后挂回门口 + 字幕""我喜欢会留下痕迹的东西""。这是极少数能直接引出""耐穿 / 可修补 / 售后 / 环保""卖点而不尬的玩法。配方关键：高级 = 陪",accept,L2,instant,true,
KP-training_unit-lifestyle-expression-values-via-rejection,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-lifestyle-expression-values-via-rejection.yaml,"lifestyle_expression（生活方式表达）的突破性玩法不靠""我怎样生活""的正面陈述，而靠""我今天拒绝了什么""—— 价值观只通过""拒绝动作""出现：拒绝在外面多待一会儿提前回家 / 拒绝外卖哪怕只煮一碗面 / 拒绝为了好看硬穿一双不舒服的鞋。镜头只拍 keys 放回桌上 / 手机扣住转身去厨房 / 镜前换回平底鞋等 具体放下动作，结尾三件物件并排在桌上 + 字幕""我今天决定不去""。这把生",accept,L2,instant,true,
KP-training_unit-ootd-anti-hard-ad-discipline,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-ootd-anti-hard-ad-discipline.yaml,"outfit_of_the_day 内容生产纪律：OOTD 是 18 类 ContentType 中**商业化风险最高**、 **最容易滑向硬广 / 种草**的 CT，必须用三条强红线反向把守—— (1) 禁止满屏 SKU 字幕像报菜名（E4）； (2) 禁止强口播购买指令（""必入 / 闭眼入 / 冲就完了"" E6）； (3) 禁止""显瘦 / 高级 / 氛围感""等空词替代真实体感和场景（E3）。 ",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-training_unit-process-trace-stop-the-bad-one-builds-trust,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-process-trace-stop-the-bad-one-builds-trust.yaml,"process_trace（工艺溯源）的北极星不是""工艺多厉害""而是""我愿意相信你没有骗我""——突破性档的核心翻面是 ""认真不是把好的拿出来炫，而是把'不够好的'挡在外面""。镜头从一件看似正常的衣服开始，员工不说大道理， 只是摊开 + 指出""这里一毫米偏了 / 那里平整度不够 / 这里洗后状态不稳定，所以不能过""，最后衣服被放进 返工筐 + 字幕""所以它不能卖给你""。**用淘汰建立信任**比""严格",accept,L2,instant,true,
KP-training_unit-shared-layer-registration-not-rewrite,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-shared-layer-registration-not-rewrite.yaml,"共享层""登记""≠""内容扩写""——当某条玩法卡被发现是某共享引擎的应用，回写动作只在共享层 §F 总账登记 ""调用共享引擎：#X（引擎名）""，**不允许**借机改动该玩法卡的正文内容（如增删元素清单、改写北极星、加场景）。 这条纪律保证共享层升级是无损的、可重跑的、可追溯的；违反则共享层升级会污染单 CT 文件正文，跨多次升级 后无法溯源任何具体改动来自哪一次升级。",override,L1,,,本体是判断门禁或字段壳规则，不是单张玩法卡
KP-training_unit-talent-showcase-rescue-not-show-off,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",candidates/domain_general/KP-training_unit-talent-showcase-rescue-not-show-off.yaml,"talent_showcase（才艺展示）的北极星不是""你很厉害""，而是""你的能力有个性、有温度、能留下你这个人""—— 突破性档的核心翻面是""才艺不是表演，是救场""：不说""我会什么""，而拍""今天遇到一个小问题，我的才艺刚好派上 用场""。会搭配的人临时帮朋友从""像上班""改到""像今天的她""；会缝补的人快速把一件衣服救活；会拍视频的人在 店门口 5 分钟把普通走路拍得像故事。观众最后会自然得出结论：""这",accept,L2,instant,true,
