play_card_id,pack_id,granularity_layer,consumption_purpose,production_difficulty,production_tier,resource_baseline,default_call_pool,hook,steps_count,anti_pattern,duration,audience,source_pack_id,brand_layer
PC-service_judgment-product-review-concerns-clearance-on-spot,KP-service_judgment-product-review-concerns-clearance-on-spot,L2,generation,medium,instant,1人+手机+200元+4h,true,把顾客当场说出的顾虑变成三十秒可见测试,3,只说不透不勒不显胯却不给任何现场证据,short,正在店里犹豫下单的顾客,KP-service_judgment-product-review-concerns-clearance-on-spot,domain_general
PC-service_judgment-product-review-tactile-court-three-piece-compare,KP-service_judgment-product-review-tactile-court-three-piece-compare,L2,generation,medium,instant,1人+手机+200元+4h,true,用三件同类衣服的声音和触感做一场法庭裁决,3,导购一直口播面料好坏而没有同框对照证据,short,在相似款之间犹豫的顾客,KP-service_judgment-product-review-tactile-court-three-piece-compare,domain_general
PC-styling_rule-behind-scenes-invisible-completion-cost,KP-styling_rule-behind-scenes-invisible-completion-cost,L2,generation,low,instant,1人+手机+200元+4h,true,让观众看见漂亮成片背后那些没人拍的完成成本,3,把幕后拍成精修花絮只展示漂亮和热闹,medium,关心品牌真实劳动的人群,KP-styling_rule-behind-scenes-invisible-completion-cost,domain_general
PC-styling_rule-behind-scenes-parallel-split-screen,KP-styling_rule-behind-scenes-parallel-split-screen,L2,generation,medium,instant,1人+手机+200元+4h,true,同一秒左右分屏揭开成片内外两个世界,3,前后流水账复盘花絮导致同步反差消失,short,喜欢看真实拍摄现场的观众,KP-styling_rule-behind-scenes-parallel-split-screen,domain_general
PC-styling_rule-behind-scenes-store-soundprint,KP-styling_rule-behind-scenes-store-soundprint,L2,generation,medium,instant,1人+手机+200元+4h,true,用十个门店近距声音做出品牌空间声纹,3,只拍店里热闹画面却忽略可识别的声音细节,short,对门店氛围和质感敏感的观众,KP-styling_rule-behind-scenes-store-soundprint,domain_general
PC-styling_rule-daily-fragment-fixed-corner-time-fold,KP-styling_rule-daily-fragment-fixed-corner-time-fold,L2,generation,low,instant,1人+手机+200元+4h,true,同一个角落连续几天拍出人和衣服的时间变化,3,每天换地点快剪导致碎片没有时间褶皱,medium,喜欢日常陪伴感内容的观众,KP-styling_rule-daily-fragment-fixed-corner-time-fold,domain_general
PC-styling_rule-daily-fragment-no-face-traces,KP-styling_rule-daily-fragment-no-face-traces,L2,generation,low,instant,1人+手机+200元+4h,true,不露脸只拍生活留下的痕迹让人自然出现,3,为了信息完整强行露脸讲解破坏靠近感,short,喜欢安静生活碎片的人群,KP-styling_rule-daily-fragment-no-face-traces,domain_general
PC-styling_rule-daily-fragment-sensory-sort-not-time,KP-styling_rule-daily-fragment-sensory-sort-not-time,L2,generation,medium,instant,1人+手机+200元+4h,true,把一天按软吵静这些体感排序而不是按时间排序,3,按早中晚流水账排列导致体感记忆变弱,medium,对触感声音和生活气味敏感的观众,KP-styling_rule-daily-fragment-sensory-sort-not-time,domain_general
PC-styling_rule-daily-fragment-single-chair-time-fold,KP-styling_rule-daily-fragment-single-chair-time-fold,L2,generation,medium,long_term,2-3人+轻设备+1000元+1-2天,true,同一把椅子四次出现拍出一天的陪伴感,3,把椅子当普通摆拍道具而没有时段变化,medium,喜欢慢节奏生活叙事的人群,KP-styling_rule-daily-fragment-single-chair-time-fold,domain_general
PC-styling_rule-emotion-expression-clothes-as-emotion-vessel,KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,L2,generation,medium,instant,1人+手机+200元+4h,true,让一件衣服替主角说完今天没说出口的话,3,用大段口播解释情绪导致衣服失去承载力,medium,被日常情绪和服装记忆打动的人群,KP-styling_rule-emotion-expression-clothes-as-emotion-vessel,domain_general
PC-styling_rule-old-sample-as-error-archive,KP-styling_rule-old-sample-as-error-archive,L2,generation,medium,instant,1人+手机+200元+4h,true,把旧样衣当错误档案审问出创始人的成长证据,3,只怀旧展示旧款而不说它暴露的判断错误,medium,关心创始人真实判断的人群,KP-styling_rule-old-sample-as-error-archive,domain_general
PC-styling_rule-ootd-clothes-remember-today,KP-styling_rule-ootd-clothes-remember-today,L2,generation,low,instant,1人+手机+200元+4h,true,不拍刚穿上而拍衣服怎样记住今天的痕迹,3,只做镜前搭配展示没有留下任何生活痕迹,medium,想看真实穿着而非摆拍的人群,KP-styling_rule-ootd-clothes-remember-today,domain_general
PC-styling_rule-ootd-micro-suspense-decision-chain,KP-styling_rule-ootd-micro-suspense-decision-chain,L2,generation,medium,instant,1人+手机+200元+4h,true,用三次换装的因果链制造三十秒微悬疑,3,把多次换装剪成显瘦快秀却没有决策因果,short,爱看真实选择过程的穿搭观众,KP-styling_rule-ootd-micro-suspense-decision-chain,domain_general
PC-styling_rule-ootd-route-fitness-not-display,KP-styling_rule-ootd-route-fitness-not-display,L2,generation,medium,instant,1人+手机+200元+4h,true,让衣服跟完整路线走而不是站镜前被展示,3,站在镜前讲搭配优点没有生活路线验证,medium,需要穿搭适配真实日程的人群,KP-styling_rule-ootd-route-fitness-not-display,domain_general
PC-styling_rule-process-trace-rejected-garment,KP-styling_rule-process-trace-rejected-garment,L2,generation,medium,instant,1人+手机+200元+4h,true,拍被拦下来的衣服比拍合格品更能建立信任,3,只展示好品和严格口号却不展示被拒绝证据,short,重视品牌质量边界的顾客,KP-styling_rule-process-trace-rejected-garment,domain_general
PC-styling_rule-process-trace-single-hard-fake-step,KP-styling_rule-process-trace-single-hard-fake-step,L2,generation,medium,instant,1人+手机+200元+4h,true,只深拍一个最难伪装的工艺节点让真实自己说话,3,试图拍完整流程导致每个步骤都浅而像宣传片,medium,想知道衣服到底怎么做的人群,KP-styling_rule-process-trace-single-hard-fake-step,domain_general
PC-styling_rule-talent-showcase-micro-skill-hundred-reps,KP-styling_rule-talent-showcase-micro-skill-hundred-reps,L2,generation,medium,instant,1人+手机+200元+4h,true,把微技能拍成练过一百次的控制力证据,3,直接展示完美成品让才艺变成普通技巧炫耀,medium,喜欢学习穿搭微技能的观众,KP-styling_rule-talent-showcase-micro-skill-hundred-reps,domain_general
PC-training_unit-behind-scenes-near-disaster-narrative,KP-training_unit-behind-scenes-near-disaster-narrative,L2,generation,medium,instant,1人+手机+200元+4h,true,用一个差点翻车点讲清内容如何被救回来,3,平铺五个翻车点让观众只觉得现场混乱,medium,喜欢看内容诞生过程的观众,KP-training_unit-behind-scenes-near-disaster-narrative,domain_general
PC-training_unit-enterprise-narrative-object-witness-over-talking-head,KP-training_unit-enterprise-narrative-object-witness-over-talking-head,L2,generation,low,instant,1人+手机+200元+4h,true,让低位物件替代人脸口播承担企业叙事,3,人物正对镜头讲价值观导致内容像企业宣传,medium,讨厌空泛品牌口播的观众,KP-training_unit-enterprise-narrative-object-witness-over-talking-head,domain_general
PC-training_unit-error-first-then-correct-replay,KP-training_unit-error-first-then-correct-replay,L2,generation,medium,instant,1人+手机+200元+4h,true,先让接客错误发生再倒带重演正确判断顺序,3,先讲正确答案让员工只背话术不记判断,medium,需要现场接客训练的门店员工,KP-training_unit-error-first-then-correct-replay,domain_general
PC-training_unit-event-documentary-failure-perspective,KP-training_unit-event-documentary-failure-perspective,L2,generation,medium,instant,1人+手机+200元+4h,true,敢从失败视角拍事件反而更能赢得信任,3,只拍光鲜热闹场面掩盖真实事件压力,medium,关心品牌真实经历的观众,KP-training_unit-event-documentary-failure-perspective,domain_general
PC-training_unit-event-documentary-long-term-tier-discipline,KP-training_unit-event-documentary-long-term-tier-discipline,L2,generation,medium,instant,1人+手机+200元+4h,true,跨日采集但单条成片仍收敛在四小时标准内,3,把长期素材堆成流水账导致单条内容失控,long,制作事件纪实内容的团队,KP-training_unit-event-documentary-long-term-tier-discipline,domain_general
PC-training_unit-humor-content-clothing-as-persona-switch,KP-training_unit-humor-content-clothing-as-persona-switch,L2,generation,low,instant,1人+手机+200元+4h,true,只靠一件衣服和站姿切换出三个不同自己,3,依赖台词和特效制造笑点忽略服装开关作用,short,喜欢身份反差幽默的年轻观众,KP-training_unit-humor-content-clothing-as-persona-switch,domain_general
PC-training_unit-lifestyle-expression-old-defines-premium,KP-training_unit-lifestyle-expression-old-defines-premium,L2,generation,low,instant,1人+手机+200元+4h,true,用旧衣服的磨损史反向定义真正的高级感,3,把高级感拍成崭新精致没有时间和陪伴证据,medium,认同耐穿可修补价值的人群,KP-training_unit-lifestyle-expression-old-defines-premium,domain_general
PC-training_unit-lifestyle-expression-values-via-rejection,KP-training_unit-lifestyle-expression-values-via-rejection,L2,generation,low,instant,1人+手机+200元+4h,true,价值观不靠宣言而靠今天拒绝了什么出现,3,正面口播我怎样生活导致价值观变成口号,short,喜欢克制生活方式表达的人群,KP-training_unit-lifestyle-expression-values-via-rejection,domain_general
PC-training_unit-process-trace-stop-the-bad-one-builds-trust,KP-training_unit-process-trace-stop-the-bad-one-builds-trust,L2,generation,medium,instant,1人+手机+200元+4h,true,用淘汰一件坏衣服证明品牌没有骗顾客,3,只展示好工艺而不展示品牌愿意挡掉什么,short,对品质信任有要求的顾客,KP-training_unit-process-trace-stop-the-bad-one-builds-trust,domain_general
PC-training_unit-product-review-fabric-detective-spec-party,KP-training_unit-product-review-fabric-detective-spec-party,L2,generation,medium,instant,1人+手机+200元+4h,true,像面料侦探一样从洗标和测试拆出真实价值,3,只说显瘦百搭而不让观众看到成分证据,medium,买衣前会查成分的理性顾客,KP-training_unit-product-review-fabric-detective-spec-party,domain_general
PC-training_unit-sop-asmr-procedural-memory,KP-training_unit-sop-asmr-procedural-memory,L2,generation,low,instant,1人+手机+200元+4h,true,无口播手部操作短片让员工用手记住流程,3,培训视频讲太多理论导致现场动作仍然不会做,short,需要快速复现动作的门店员工,KP-training_unit-sop-asmr-procedural-memory,domain_general
PC-training_unit-talent-showcase-rescue-not-show-off,KP-training_unit-talent-showcase-rescue-not-show-off,L2,generation,medium,instant,1人+手机+200元+4h,true,才艺不是表演而是在小问题发生时刚好救场,3,直接展示我会什么让才艺变成自我炫耀,medium,喜欢看能力解决真实问题的观众,KP-training_unit-talent-showcase-rescue-not-show-off,domain_general
